2,0,1095,1
2,0,2291,1
2,0,2584,1
2,0,2982,1
2,0,3757,1
2,0,4154,1
2,0,4178,1
2,0,4466,1
2,1,9,2
2,1,32,1
2,1,1332,1
2,1,2911,2
2,1,3046,1
2,1,4791,1
2,1,4850,1
2,2,3,1
2,2,216,1
2,2,271,2
2,2,320,1
2,2,321,1
2,2,460,1
2,2,608,1
2,2,632,1
2,2,978,1
2,2,1068,1
2,2,1441,1
2,2,1560,1
2,2,1636,2
2,2,1696,1
2,2,1727,1
2,2,1767,3
2,2,1795,1
2,2,2224,1
2,2,2324,2
2,2,2360,1
2,2,2414,1
2,2,2806,2
2,2,2998,1
2,2,3276,1
2,2,3630,2
2,2,3791,1
2,2,4819,1
2,2,4998,1
2,3,32,1
2,3,57,1
2,3,211,2
2,3,228,1
2,3,257,1
2,3,347,1
2,3,592,1
2,3,831,1
2,3,835,1
2,3,1338,1
2,3,1497,1
2,3,1741,1
2,3,2091,1
2,3,2754,1
2,3,2853,2
2,3,2896,1
2,3,2967,1
2,3,3012,1
2,3,3252,1
2,3,3273,2
2,3,3711,1
2,3,3954,1
2,3,4066,1
2,3,4438,1
2,3,4852,1
2,4,222,1
2,4,243,1
2,4,515,1
2,4,658,1
2,4,706,1
2,4,816,1
2,4,1543,3
2,4,2185,1
2,4,2900,1
2,4,3420,1
2,4,3874,1
2,4,4351,1
2,4,4439,1
2,4,4979,1
2,5,21,1
2,5,153,1
2,5,328,3
2,5,665,1
2,5,669,1
2,5,1356,1
2,5,1376,1
2,5,1890,2
2,5,2111,3
2,5,2142,1
2,5,2240,1
2,5,2413,1
2,5,2682,1
2,5,2732,1
2,5,2846,1
2,5,3578,1
2,5,3820,1
2,5,4201,1
2,5,4377,1
2,6,465,1
2,6,470,1
2,6,597,1
2,6,871,1
2,6,977,1
2,6,1347,1
2,6,1411,1
2,6,1859,1
2,6,2034,1
2,6,2050,1
2,6,2052,3
2,6,2067,1
2,6,2378,1
2,6,2483,1
2,6,2932,2
2,6,3135,1
2,6,3561,1
2,6,3732,1
2,6,3823,1
2,6,4595,1
2,7,50,1
2,7,56,1
2,7,399,1
2,7,604,1
2,7,1085,1
2,7,1455,2
2,7,1466,1
2,7,2131,1
2,7,2276,1
2,7,3163,1
2,7,3227,1
2,7,3289,1
2,7,3306,1
2,7,3427,1
2,7,4144,1
2,7,4213,2
2,7,4906,1
2,8,192,1
2,8,650,1
2,8,1008,1
2,8,1512,1
2,8,1514,1
2,8,1771,2
2,8,1919,1
2,8,2065,1
2,8,2240,1
2,8,2504,2
2,8,2517,1
2,8,2723,2
2,8,2769,1
2,8,3893,1
2,8,4150,1
2,8,4210,1
2,8,4508,1
2,8,4768,1
2,9,1165,1
2,9,1460,1
2,9,1804,1
2,9,2477,1
2,9,2524,1
2,9,2718,2
2,9,2792,1
2,9,2811,1
2,9,2966,1
2,9,3230,1
2,9,3633,1
2,9,3747,1
2,9,4011,1
2,9,4029,1
2,9,4259,1
2,9,4269,1
2,10,61,1
2,10,74,1
2,10,151,1
2,10,1337,1
2,10,2150,1
2,10,2309,1
2,10,2339,1
2,10,2762,1
2,10,3348,2
2,10,3486,1
2,10,3641,1
2,10,3695,1
2,10,3925,1
2,10,4427,1
2,10,4551,1
2,11,358,1
2,11,645,1
2,11,704,1
2,11,821,1
2,11,880,1
2,11,918,1
2,11,990,1
2,11,1997,1
2,11,2070,1
2,11,2626,1
2,11,2920,1
2,11,3409,1
2,11,4207,1
2,12,253,1
2,12,507,2
2,12,852,1
2,12,1268,1
2,12,1556,1
2,12,1730,1
2,12,2195,1
2,12,2407,1
2,12,2421,1
2,12,3011,1
2,12,3181,1
2,12,3256,1
2,12,3757,1
2,12,3885,1
2,12,4133,1
2,12,4142,1
2,12,4503,1
2,13,181,1
2,13,602,1
